Name,Ingredients,Glass,Instructions
Mojito,"white rum, lime juice, simple syrup, mint leaves, soda water",Collins glass,Muddle mint leaves with lime juice and simple syrup. Add rum and ice. Top with soda water. Garnish with mint sprig.
Old Fashioned,"bourbon, sugar cube, bitters, orange peel, cherry",Rocks glass,"Place sugar cube in glass, add bitters and splash of water. Muddle until dissolved. Add bourbon and ice. Stir gently. Garnish with orange peel and cherry."
Cosmopolitan,"vodka, cranberry juice, triple sec, lime juice",Cocktail glass,Combine all ingredients in a shaker with ice. Shake well. Strain into a chilled cocktail glass. Garnish with lime twist.
Margarita,"tequila, lime juice, triple sec, salt",Margarita glass,"Rub the rim of the glass with lime juice and dip in salt. Combine tequila, lime juice, and triple sec in a shaker with ice. Shake well. Strain into the glass. Garnish with lime wheel."
Negroni,"gin, sweet vermouth, Campari, orange peel",Rocks glass,"Stir gin, sweet vermouth, and Campari with ice in a mixing glass. Strain into an ice-filled rocks glass. Garnish with orange peel."
Martini,"gin, dry vermouth, olive",Martini glass,Combine gin and dry vermouth in a mixing glass with ice. Stir well. Strain into a chilled martini glass. Garnish with olive.
Whiskey Sour,"whiskey, lemon juice, simple syrup, cherry, orange slice",Rocks glass,"Combine whiskey, lemon juice, and simple syrup in a shaker with ice. Shake well. Strain into an ice-filled rocks glass. Garnish with cherry and orange slice."
Piña Colada,"rum, pineapple juice, coconut cream, pineapple wedge, cherry",Hurricane glass,"Blend rum, pineapple juice, and coconut cream with ice in a blender until smooth. Pour into a hurricane glass. Garnish with pineapple wedge and cherry."
Screwdriver,"vodka, orange juice, orange slice",Highball glass,Pour vodka and orange juice into a highball glass filled with ice. Stir well. Garnish with orange slice.
Long Island Iced Tea,"vodka, tequila, rum, gin, triple sec, lemon juice, simple syrup, cola",Collins glass,"Combine vodka, tequila, rum, gin, triple sec, lemon juice, and simple syrup in a shaker with ice. Shake well. Strain into an ice-filled Collins glass. Top with cola. Garnish with lemon wheel."
Daiquiri,"rum, lime juice, simple syrup",Cocktail glass,"Combine rum, lime juice, and simple syrup in a shaker with ice. Shake well. Strain into a chilled cocktail glass. Garnish with lime wheel."
Gin and Tonic,"gin, tonic water, lime wedge",Highball glass,Fill a highball glass with ice. Pour gin over the ice. Top with tonic water. Garnish with lime wedge.
White Russian,"vodka, coffee liqueur, cream",Old-fashioned glass,Pour vodka and coffee liqueur over ice in an old-fashioned glass. Stir gently. Float cream on top.
Mai Tai,"rum, lime juice, orange curaçao, orgeat syrup, dark rum, pineapple wedge, cherry, mint sprig",Collins glass,"Shake rum, lime juice, orange curaçao, and orgeat syrup with ice. Strain into an ice-filled Collins glass. Float dark rum on top. Garnish with pineapple wedge, cherry, and mint sprig."
Bloody Mary,"vodka, tomato juice, lemon juice, Worcestershire sauce, hot sauce, celery salt, pepper, celery stalk, lemon wedge",Highball glass,"Combine vodka, tomato juice, lemon juice, Worcestershire sauce, hot sauce, celery salt, and pepper in a mixing glass. Stir well. Pour into a highball glass filled with ice. Garnish with celery stalk and lemon wedge."
Mimosa,"champagne, orange juice",Champagne flute,Pour equal parts champagne and orange juice into a chilled champagne flute.
Sangria,"red wine, orange juice, brandy, simple syrup, sliced fruit, club soda",Wine glass,"In a pitcher, combine red wine, orange juice, brandy, and simple syrup. Stir well. Add sliced fruit. Refrigerate for at least 4 hours. Serve in wine glasses with a splash of club soda."
Caipirinha,"cachaça, lime, sugar",Old-fashioned glass,Cut the lime into wedges. Muddle the lime wedges and sugar in an old-fashioned glass. Fill the glass with ice. Pour cachaça over the ice. Stir gently.
Amaretto Sour,"amaretto, lemon juice, simple syrup, cherry, orange slice",Rocks glass,"Combine amaretto, lemon juice, and simple syrup in a shaker with ice. Shake well. Strain into an ice-filled rocks glass. Garnish with cherry and orange slice."
Pina Colada,"rum, pineapple juice, coconut cream",Hurricane glass,"Blend rum, pineapple juice, and coconut cream with ice in a blender until smooth. Pour into a hurricane glass. Garnish with pineapple slice and cherry."
